iter	Accuracy	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.5495799601	0.6931313486	0.5495799601	0.5475	0.4312908406	0.4326018809	0.5848959622	0.5897435897	0.3415841584	0.3415841584
1	0.5794079402	0.6930854404	0.5794079402	0.58	0.6029175688	0.6056338028	0.571000621	0.5758928571	0.6386138614	0.6386138614
2	0.5952095212	0.6930561004	0.5952095212	0.595	0.5865468081	0.5888324873	0.5993736904	0.6041666667	0.5742574257	0.5742574257
3	0.6379887994	0.6930145122	0.6379887994	0.6375	0.6193843464	0.6214099217	0.6529401939	0.6574585635	0.5891089109	0.5891089109
4	0.6401140115	0.6929693107	0.6401140115	0.64	0.6359635789	0.6381909548	0.6433834771	0.6479591837	0.6287128713	0.6287128713
5	0.632688269	0.6929373846	0.632688269	0.6325	0.6256402393	0.6278481013	0.6378799642	0.6424870466	0.6138613861	0.6138613861
6	0.6451145116	0.6928972739	0.6451145116	0.645	0.6410035892	0.6432160804	0.6485158603	0.6530612245	0.6336633663	0.6336633663
7	0.6301630165	0.6928400805	0.6301630165	0.63	0.624034158	0.6262626263	0.6345497731	0.6391752577	0.6138613861	0.6138613861
8	0.6476397641	0.6927803358	0.6476397641	0.6475	0.6426452294	0.644836272	0.6518853805	0.6564102564	0.6336633663	0.6336633663
9	0.642589259	0.6927515007	0.642589259	0.6425	0.6393703149	0.64160401	0.6451809943	0.6497461929	0.6336633663	0.6336633663
10	0.6450645065	0.6927191048	0.6450645065	0.645	0.6427600763	0.645	0.6469604817	0.6515151515	0.6386138614	0.6386138614
11	0.6403140317	0.6926975624	0.6403140317	0.64	0.6286525534	0.6307692308	0.6497172081	0.6542553191	0.6089108911	0.6089108911
12	0.6650165017	0.692623193	0.6650165017	0.665	0.6644628077	0.6666666667	0.6655629094	0.67	0.6633663366	0.6633663366
13	0.657390739	0.692590769	0.657390739	0.6575	0.6610936588	0.6633906634	0.6540249526	0.6585365854	0.6683168317	0.6683168317
14	0.6650165017	0.6925588115	0.6650165017	0.665	0.6644628077	0.6666666667	0.6655629094	0.67	0.6633663366	0.6633663366
15	0.6725422543	0.6925479524	0.6725422543	0.6725	0.6711527334	0.6733167082	0.6740128051	0.6783919598	0.6683168317	0.6683168317
16	0.6724922492	0.6925242766	0.6724922492	0.6725	0.6727458943	0.6749379653	0.6722252689	0.6766169154	0.6732673267	0.6732673267
17	0.6725422543	0.6924903823	0.6725422543	0.6725	0.6711527334	0.6733167082	0.6740128051	0.6783919598	0.6683168317	0.6683168317
18	0.6599659966	0.6924707712	0.6599659966	0.66	0.6611183073	0.6633663366	0.6588854629	0.6633663366	0.6633663366	0.6633663366
19	0.6675917593	0.6924477436	0.6675917593	0.6675	0.6645133593	0.6666666667	0.6707248695	0.6751269036	0.6584158416	0.6584158416
20	0.6775927594	0.6924246611	0.6775927594	0.6775	0.6745741304	0.6766917293	0.6809497078	0.6852791878	0.6683168317	0.6683168317
21	0.6925942595	0.6923891162	0.6925942595	0.6925	0.6896690961	0.6917293233	0.696294782	0.7005076142	0.6831683168	0.6831683168
22	0.6774927493	0.6923350244	0.6774927493	0.6775	0.6777264188	0.6799007444	0.6772357274	0.6815920398	0.6782178218	0.6782178218
23	0.6774427442	0.6923096435	0.6774427442	0.6775	0.6792790531	0.6814814815	0.6754338217	0.6798029557	0.6831683168	0.6831683168
24	0.6749674967	0.6922763672	0.6749674967	0.675	0.6760205331	0.6782178218	0.673837436	0.6782178218	0.6782178218	0.6782178218
25	0.6799179917	0.692245894	0.6799179917	0.68	0.682521573	0.684729064	0.6770146566	0.681372549	0.6881188119	0.6881188119
26	0.6749174917	0.6922352312	0.6749174917	0.675	0.6775777392	0.6798029557	0.6720779177	0.6764705882	0.6831683168	0.6831683168
27	0.6799679968	0.6921873943	0.6799679968	0.68	0.6809889321	0.6831683168	0.6788234081	0.6831683168	0.6831683168	0.6831683168
28	0.6898689868	0.6921654308	0.6898689868	0.69	0.6938795634	0.6960784314	0.6850209488	0.6893203883	0.702970297	0.702970297
29	0.6751175119	0.6921224722	0.6751175119	0.675	0.6712543621	0.6733668342	0.6793322365	0.6836734694	0.6633663366	0.6633663366
30	0.685118512	0.6920826891	0.685118512	0.685	0.6813420353	0.6834170854	0.68961278	0.693877551	0.6732673267	0.6732673267
31	0.6899189918	0.6920078877	0.6899189918	0.69	0.6924107121	0.6945812808	0.6868910497	0.6911764706	0.698019802	0.698019802
32	0.6900190019	0.6919734608	0.6900190019	0.69	0.6894288556	0.6915422886	0.6907438969	0.695	0.6881188119	0.6881188119
33	0.6949694969	0.6919186924	0.6949694969	0.695	0.6958971014	0.698019802	0.6937872721	0.698019802	0.698019802	0.698019802
34	0.7024452445	0.6918763826	0.7024452445	0.7025	0.704065645	0.7061728395	0.7002522587	0.7044334975	0.7079207921	0.7079207921
35	0.6998699869	0.691836534	0.6998699869	0.7	0.7037219842	0.7058823529	0.6948045576	0.6990291262	0.7128712871	0.7128712871
36	0.6972947293	0.6918068582	0.6972947293	0.6975	0.7033833919	0.7055961071	0.6895143816	0.6937799043	0.7178217822	0.7178217822
37	0.704920492	0.6917823468	0.704920492	0.705	0.7072481003	0.7093596059	0.7017129314	0.7058823529	0.7128712871	0.7128712871
38	0.6948694868	0.6917502599	0.6948694868	0.695	0.6988005309	0.7009803922	0.6899122764	0.6941747573	0.7079207921	0.7079207921
39	0.6948194818	0.6916995563	0.6948194818	0.695	0.7002308539	0.7024390244	0.6880308837	0.6923076923	0.7128712871	0.7128712871
40	0.6998699869	0.6916576581	0.6998699869	0.7	0.7037219842	0.7058823529	0.6948045576	0.6990291262	0.7128712871	0.7128712871
41	0.7023452344	0.6916451935	0.7023452344	0.7025	0.7068816918	0.7090464548	0.6962700641	0.7004830918	0.7178217822	0.7178217822
42	0.714821482	0.6915978085	0.714821482	0.715	0.7198231371	0.7219512195	0.7074159866	0.7115384615	0.7326732673	0.7326732673
43	0.7147714769	0.691556933	0.7147714769	0.715	0.7211439724	0.7233009709	0.7053844641	0.7095238095	0.7376237624	0.7376237624
44	0.7196719669	0.6915132587	0.7196719669	0.72	0.7285755764	0.7307692308	0.7061473445	0.7102803738	0.7524752475	0.7524752475
45	0.7121462143	0.691492103	0.7121462143	0.7125	0.7219820798	0.7242206235	0.6981273016	0.7023255814	0.7475247525	0.7475247525
46	0.7045704566	0.6914664701	0.7045704566	0.705	0.7167377835	0.719047619	0.6883864389	0.6926605505	0.7475247525	0.7475247525
47	0.7171467143	0.6914294476	0.7171467143	0.7175	0.7267985198	0.7290167866	0.7028163052	0.7069767442	0.7524752475	0.7524752475
48	0.7196219618	0.6913994995	0.7196219618	0.72	0.7298352102	0.7320574163	0.7041840962	0.7083333333	0.7574257426	0.7574257426
49	0.7220472043	0.6913711014	0.7220472043	0.7225	0.7340875907	0.7363420428	0.7036085978	0.7077625571	0.7673267327	0.7673267327
50	0.7196219618	0.6913481944	0.7196219618	0.72	0.7298352102	0.7320574163	0.7041840962	0.7083333333	0.7574257426	0.7574257426
51	0.7195219517	0.6913066367	0.7195219517	0.72	0.7323184095	0.7345971564	0.7003651259	0.7045454545	0.7673267327	0.7673267327
52	0.7144714466	0.6912781847	0.7144714466	0.715	0.728805507	0.7311320755	0.6939670724	0.6981981982	0.7673267327	0.7673267327
53	0.7144714466	0.6912115906	0.7144714466	0.715	0.728805507	0.7311320755	0.6939670724	0.6981981982	0.7673267327	0.7673267327
54	0.7145714567	0.691191078	0.7145714567	0.715	0.726300645	0.7285714286	0.6976326413	0.7018348624	0.7574257426	0.7574257426
55	0.7096209617	0.6911702334	0.7096209617	0.71	0.7202254747	0.7224880383	0.6948498609	0.6990740741	0.7475247525	0.7475247525
56	0.7120462042	0.6911380915	0.7120462042	0.7125	0.7245461697	0.7268408551	0.6944024163	0.698630137	0.7574257426	0.7574257426
57	0.7095209516	0.69110949	0.7095209516	0.71	0.7228001504	0.7251184834	0.6912019671	0.6954545455	0.7574257426	0.7574257426
58	0.7069956991	0.6910732497	0.7069956991	0.7075	0.7210625259	0.7234042553	0.6880308837	0.6923076923	0.7574257426	0.7574257426
59	0.7120462042	0.6910061173	0.7120462042	0.7125	0.7245461697	0.7268408551	0.6944024163	0.698630137	0.7574257426	0.7574257426
60	0.7121462143	0.6909768154	0.7121462143	0.7125	0.7219820798	0.7242206235	0.6981273016	0.7023255814	0.7475247525	0.7475247525
61	0.7095709567	0.6909164404	0.7095709567	0.71	0.721518985	0.7238095238	0.6930091143	0.6972477064	0.7524752475	0.7524752475
62	0.7096209617	0.6908928858	0.7096209617	0.71	0.7202254747	0.7224880383	0.6948498609	0.6990740741	0.7475247525	0.7475247525
63	0.7021452142	0.6908588106	0.7021452142	0.7025	0.7123505953	0.7146282974	0.6887519217	0.6930232558	0.7376237624	0.7376237624
64	0.7020952091	0.6908388653	0.7020952091	0.7025	0.713684967	0.7159904535	0.6869593332	0.6912442396	0.7425742574	0.7425742574
65	0.6971447141	0.6908162856	0.6971447141	0.6975	0.7075355507	0.7098321343	0.6840655449	0.688372093	0.7326732673	0.7326732673
66	0.6971447141	0.6908010445	0.6971447141	0.6975	0.7075355507	0.7098321343	0.6840655449	0.688372093	0.7326732673	0.7326732673
67	0.6946194616	0.6907492959	0.6946194616	0.695	0.7058143432	0.7081339713	0.6808550142	0.6851851852	0.7326732673	0.7326732673
68	0.6921442141	0.6907289837	0.6921442141	0.6925	0.7027209711	0.7050359712	0.6793800432	0.6837209302	0.7277227723	0.7277227723
69	0.6845684564	0.6906928842	0.6845684564	0.685	0.6976175615	0.7	0.6699042489	0.6743119266	0.7277227723	0.7277227723
70	0.687093709	0.690664027	0.687093709	0.6875	0.6993104419	0.7016706444	0.6730333397	0.6774193548	0.7277227723	0.7277227723
71	0.6896189615	0.6906325142	0.6896189615	0.69	0.7010115583	0.7033492823	0.6761917993	0.6805555556	0.7277227723	0.7277227723
72	0.687093709	0.6905745978	0.687093709	0.6875	0.6993104419	0.7016706444	0.6730333397	0.6774193548	0.7277227723	0.7277227723
73	0.6795179513	0.6905272047	0.6795179513	0.68	0.6942562708	0.6966824645	0.6637325505	0.6681818182	0.7277227723	0.7277227723
74	0.6819931988	0.6904699397	0.6819931988	0.6825	0.6973324107	0.6997635934	0.6652440364	0.6696832579	0.7326732673	0.7326732673
75	0.6846184615	0.6904336194	0.6846184615	0.685	0.6962092361	0.6985645933	0.6715294511	0.6759259259	0.7227722772	0.7227722772
76	0.6971947192	0.6903912805	0.6971947192	0.6975	0.7061649297	0.7084337349	0.6858475851	0.6901408451	0.7277227723	0.7277227723
77	0.6946694666	0.690351918	0.6946694666	0.695	0.7044387411	0.7067307692	0.6825984947	0.6869158879	0.7277227723	0.7277227723
78	0.6921442141	0.6903408941	0.6921442141	0.6925	0.7027209711	0.7050359712	0.6793800432	0.6837209302	0.7277227723	0.7277227723
79	0.6921442141	0.6903212732	0.6921442141	0.6925	0.7027209711	0.7050359712	0.6793800432	0.6837209302	0.7277227723	0.7277227723
80	0.6945694565	0.6902992548	0.6945694565	0.695	0.7071767559	0.7095238095	0.679143642	0.6834862385	0.7376237624	0.7376237624
81	0.6970947091	0.6902670815	0.6970947091	0.6975	0.7088929981	0.7112171838	0.6823164765	0.6866359447	0.7376237624	0.7376237624
82	0.6995199515	0.6902280645	0.6995199515	0.7	0.7132837079	0.7156398104	0.6820421528	0.6863636364	0.7475247525	0.7475247525
83	0.696994699	0.6902171299	0.696994699	0.6975	0.7115691244	0.7139479905	0.6789136611	0.6832579186	0.7475247525	0.7475247525
84	0.6995199515	0.6901946573	0.6995199515	0.7	0.7132837079	0.7156398104	0.6820421528	0.6863636364	0.7475247525	0.7475247525
85	0.701995199	0.6901555512	0.701995199	0.7025	0.7163155992	0.7186761229	0.6834718583	0.6877828054	0.7524752475	0.7524752475
86	0.7046204617	0.6901230922	0.7046204617	0.705	0.7154213014	0.7177033493	0.6901840448	0.6944444444	0.7425742574	0.7425742574
87	0.692094209	0.6900699528	0.692094209	0.6925	0.7041014897	0.7064439141	0.6776744788	0.6820276498	0.7326732673	0.7326732673
88	0.6945694565	0.6900412222	0.6945694565	0.695	0.7071767559	0.7095238095	0.679143642	0.6834862385	0.7376237624	0.7376237624
89	0.6945694565	0.690017729	0.6945694565	0.695	0.7071767559	0.7095238095	0.679143642	0.6834862385	0.7376237624	0.7376237624
90	0.6996199616	0.6899837717	0.6996199616	0.7	0.7106175909	0.7129186603	0.685519096	0.6898148148	0.7376237624	0.7376237624
91	0.7020952091	0.6899665375	0.7020952091	0.7025	0.713684967	0.7159904535	0.6869593332	0.6912442396	0.7425742574	0.7425742574
92	0.7121962193	0.6899418922	0.7121962193	0.7125	0.7206813692	0.7228915663	0.7000424226	0.7042253521	0.7425742574	0.7425742574
93	0.7021952192	0.6898919051	0.7021952192	0.7025	0.7110032732	0.713253012	0.6905783056	0.6948356808	0.7326732673	0.7326732673
94	0.7071957193	0.6898694448	0.7071957193	0.7075	0.7158420864	0.7180722892	0.695309918	0.6995305164	0.7376237624	0.7376237624
95	0.7047204718	0.6898165595	0.7047204718	0.705	0.7127499126	0.7149758454	0.6938814127	0.6981132075	0.7326732673	0.7326732673
96	0.7072457243	0.6897950316	0.7072457243	0.7075	0.7145051547	0.7167070218	0.6972162699	0.7014218009	0.7326732673	0.7326732673
97	0.7122962294	0.6897691165	0.7122962294	0.7125	0.7180417023	0.7201946472	0.7039830833	0.7081339713	0.7326732673	0.7326732673
98	0.7021952192	0.6897283886	0.7021952192	0.7025	0.7110032732	0.713253012	0.6905783056	0.6948356808	0.7326732673	0.7326732673
99	0.7046704667	0.6896906218	0.7046704667	0.705	0.714092073	0.7163461538	0.6920153832	0.6962616822	0.7376237624	0.7376237624
100	0.7047704768	0.6896603897	0.7047704768	0.705	0.7113946304	0.713592233	0.6957831283	0.7	0.7277227723	0.7277227723
101	0.6997199717	0.6896308138	0.6997199717	0.7	0.7078995989	0.7101449275	0.689127754	0.6933962264	0.7277227723	0.7277227723
102	0.6921942191	0.6896081495	0.6921942191	0.6925	0.7013270556	0.7036144578	0.6811177564	0.6854460094	0.7227722772	0.7227722772
103	0.6971447141	0.6895762974	0.6971447141	0.6975	0.7075355507	0.7098321343	0.6840655449	0.688372093	0.7326732673	0.7326732673
