iter	Passed	Remaining
0	143	143356
1	149	74771
2	154	51381
3	159	39616
4	164	32767
5	168	27975
6	173	24622
7	178	22075
8	181	19931
9	184	18253
10	188	16908
11	192	15872
12	196	14928
13	199	14039
14	203	13334
15	206	12710
16	210	12192
17	215	11747
18	219	11311
19	222	10906
20	226	10538
21	230	10236
22	233	9932
23	237	9650
24	241	9401
25	245	9187
26	248	8966
27	252	8759
28	255	8567
29	260	8416
30	264	8256
31	267	8100
32	271	7953
33	275	7817
34	278	7683
35	282	7555
36	285	7438
37	289	7327
38	292	7216
39	296	7112
40	299	7010
41	303	6914
42	306	6830
43	310	6743
44	313	6659
45	317	6585
46	320	6500
47	324	6434
48	327	6364
49	332	6324
50	336	6263
51	340	6207
52	344	6157
53	348	6102
54	351	6044
55	355	5991
56	358	5938
57	362	5886
58	366	5837
59	369	5787
60	372	5740
61	376	5694
62	380	5655
63	383	5612
64	387	5571
65	390	5529
66	394	5486
67	396	5429
68	399	5391
69	403	5354
70	406	5319
71	410	5293
72	414	5259
73	417	5226
74	421	5192
75	424	5164
76	427	5129
77	431	5101
78	435	5073
79	438	5042
80	441	5004
81	444	4977
82	448	4950
83	451	4923
84	454	4896
85	458	4869
86	461	4844
87	465	4820
88	468	4798
89	472	4776
90	475	4753
91	479	4731
92	482	4709
93	486	4690
94	490	4671
95	493	4649
96	497	4631
97	501	4617
98	505	4600
99	509	4582
100	512	4563
101	517	4552
102	520	4536
103	524	4519
104	528	4503
105	531	4485
106	535	4468
107	539	4453
108	542	4437
109	546	4421
110	550	4405
111	553	4390
112	557	4374
113	561	4360
114	564	4345
115	568	4329
116	571	4313
117	575	4298
118	578	4283
119	582	4268
120	585	4254
121	589	4241
122	591	4220
123	595	4208
124	599	4195
125	602	4181
126	606	4171
127	610	4159
128	614	4147
129	617	4134
130	621	4122
131	624	4109
132	628	4097
133	632	4085
134	635	4073
135	639	4060
136	642	4048
137	646	4039
138	650	4027
139	653	4015
140	657	4004
141	660	3993
142	664	3983
143	669	3977
144	672	3967
145	677	3960
146	681	3956
147	685	3946
148	689	3936
149	692	3926
150	696	3916
151	700	3908
152	703	3895
153	707	3886
154	711	3877
155	714	3865
156	717	3854
157	721	3845
158	725	3837
159	728	3824
160	732	3815
161	735	3803
162	739	3797
163	743	3789
164	747	3781
165	750	3771
166	754	3763
167	758	3756
168	762	3749
169	766	3741
170	770	3736
171	773	3723
172	777	3716
173	781	3708
174	785	3701
